Postcode,ULEZ
NW11 7TL,Current ULEZ
NW11 7ES,Current ULEZ
NW11 7ST,Current ULEZ
N2 0AH,Current ULEZ
NW2 1XB,Current ULEZ
N10 1HA,Current ULEZ
NW11 0RJ,Current ULEZ
NW11 0AD,Current ULEZ
N2 8FA,Current ULEZ
N2 0LN,Current ULEZ
NW11 7TR,Current ULEZ
N10 2RZ,Current ULEZ
NW11 9BJ,Current ULEZ
NW11 7JN,Current ULEZ
N2 8AS,Current ULEZ
NW2 1UW,Current ULEZ
NW11 9BL,Current ULEZ
NW2 2NG,Current ULEZ
NW11 9TJ,Current ULEZ
NW11 6TU,Current ULEZ
NW11 9HU,Current ULEZ
N2 0PT,Current ULEZ
NW11 8BE,Current ULEZ
NW11 7NT,Current ULEZ
NW2 2NA,Current ULEZ
NW11 0NB,Current ULEZ
N2 0DD,Current ULEZ
N2 8ER,Current ULEZ
NW2 2TN,Current ULEZ
NW11 8HR,Current ULEZ
NW11 8HH,Current ULEZ
N2 8BS,Current ULEZ
NW11 6XL,Current ULEZ
N2 0HB,Current ULEZ
NW11 6TX,Current ULEZ
NW2 6GQ,Current ULEZ
NW11 8PB,Current ULEZ
NW3 7TR,Current ULEZ
NW11 9QU,Current ULEZ
NW11 9PP,Current ULEZ
N10 1LU,Current ULEZ
N2 0NJ,Current ULEZ
NW11 9BB,Current ULEZ
N2 8PA,Current ULEZ
NW2 2JT,Current ULEZ
NW2 2SD,Current ULEZ
NW2 1HX,Current ULEZ
N2 0DH,Current ULEZ
NW11 0JL,Current ULEZ
NW11 6BX,Current ULEZ
NW2 2NN,Current ULEZ
N2 9DU,Current ULEZ
NW11 7SN,Current ULEZ
N2 9EL,Current ULEZ
NW11 8JY,Current ULEZ
NW2 1DJ,Current ULEZ
NW2 1RE,Current ULEZ
NW11 6NT,Current ULEZ
N2 8BJ,Current ULEZ
NW11 9RL,Current ULEZ
NW2 1RS,Current ULEZ
NW2 1TT,Current ULEZ
NW11 7NE,Current ULEZ
NW2 2RY,Current ULEZ
N10 1AA,Current ULEZ
NW11 8AD,Current ULEZ
NW11 8QG,Current ULEZ
NW2 2QP,Current ULEZ
NW11 8NX,Current ULEZ
NW2 1DN,Current ULEZ
N2 8BN,Current ULEZ
NW11 7SR,Current ULEZ
NW11 7HG,Current ULEZ
N2 8ET,Current ULEZ
N2 8LR,Current ULEZ
N10 1BD,Current ULEZ
NW11 0DL,Current ULEZ
NW2 1AH,Current ULEZ
N2 0TJ,Current ULEZ
NW2 3ED,Current ULEZ
NW11 9TS,Current ULEZ
N2 9PX,Current ULEZ
N10 1AX,Current ULEZ
NW11 9HB,Current ULEZ
NW2 1HY,Current ULEZ
N10 2EP,Current ULEZ
NW11 8DP,Current ULEZ
NW11 7HQ,Current ULEZ
NW2 1EW,Current ULEZ
N2 0UX,Current ULEZ
N2 0DG,Current ULEZ
N2 8BH,Current ULEZ
NW11 8TL,Current ULEZ
NW2 1EL,Current ULEZ
NW11 6BL,Current ULEZ
N10 2JH,Current ULEZ
NW11 9AN,Current ULEZ
NW11 8JR,Current ULEZ
NW2 2AP,Current ULEZ
NW11 9SS,Current ULEZ
NW11 7TJ,Current ULEZ
NW11 9SH,Current ULEZ
NW11 6ED,Current ULEZ
N10 2EU,Current ULEZ
NW2 2PL,Current ULEZ
NW2 2DP,Current ULEZ
N2 0LB,Current ULEZ
NW11 0PH,Current ULEZ
NW11 0RT,Current ULEZ
NW11 7LG,Current ULEZ
N2 8GR,Current ULEZ
NW11 9RH,Current ULEZ
NW11 9RP,Current ULEZ
N2 8LF,Current ULEZ
NW11 8PS,Current ULEZ
NW11 0QS,Current ULEZ
NW2 2PG,Current ULEZ
NW11 6TB,Current ULEZ
N10 1BB,Current ULEZ
NW11 6TH,Current ULEZ
N2 8BP,Current ULEZ
N2 9RA,Current ULEZ
NW11 8LA,Current ULEZ
NW2 1TG,Current ULEZ
NW11 9DS,Current ULEZ
N10 2LS,Current ULEZ
N10 2LL,Current ULEZ
N2 0BN,Current ULEZ
NW2 1HU,Current ULEZ
NW11 0HE,Current ULEZ
NW2 1TS,Current ULEZ
NW11 7UA,Current ULEZ
N2 0XL,Current ULEZ
NW11 9NN,Current ULEZ
NW2 1EU,Current ULEZ
N10 2PQ,Current ULEZ
NW11 9PY,Current ULEZ
N2 8LE,Current ULEZ
NW2 2PD,Current ULEZ
NW2 1PL,Current ULEZ
NW2 3EJ,Current ULEZ
NW11 7HW,Current ULEZ
N10 1JU,Current ULEZ
NW11 9HX,Current ULEZ
NW11 9RJ,Current ULEZ
N2 0TF,Current ULEZ
NW11 8DE,Current ULEZ
N2 0BD,Current ULEZ
NW11 6RD,Current ULEZ
NW2 2SL,Current ULEZ
NW11 7HL,Current ULEZ
N2 8EN,Current ULEZ
NW2 2AL,Current ULEZ
NW2 6GN,Current ULEZ
NW2 3LS,Current ULEZ
NW2 1XA,Current ULEZ
N2 0AB,Current ULEZ
N2 8AY,Current ULEZ
NW11 9DU,Current ULEZ
N2 8JF,Current ULEZ
NW11 7SH,Current ULEZ
N2 0NA,Current ULEZ
N2 8LA,Current ULEZ
NW11 9RS,Current ULEZ
NW2 1ED,Current ULEZ
NW2 1AJ,Current ULEZ
NW11 6BY,Current ULEZ
N10 2RY,Current ULEZ
NW2 2DE,Current ULEZ
NW11 0HY,Current ULEZ
N2 0HP,Current ULEZ
N2 8HN,Current ULEZ
NW11 6RH,Current ULEZ
NW11 9HA,Current ULEZ
NW11 9QP,Current ULEZ
N2 8JJ,Current ULEZ
NW2 1NX,Current ULEZ
NW2 2TG,Current ULEZ
N10 2HN,Current ULEZ
NW11 7SY,Current ULEZ
NW2 1DH,Current ULEZ
NW11 9HJ,Current ULEZ
NW11 6LL,Current ULEZ
N2 0SS,Current ULEZ
N2 9DX,Current ULEZ
NW2 2LY,Current ULEZ
N2 9RD,Current ULEZ
NW2 2LX,Current ULEZ
N10 1EU,Current ULEZ
N10 2LY,Current ULEZ
NW11 0PG,Current ULEZ
NW2 2SN,Current ULEZ
NW11 9JX,Current ULEZ
N2 9JR,Current ULEZ
NW11 6EE,Current ULEZ
NW11 9DP,Current ULEZ
NW2 1DG,Current ULEZ
N2 0SZ,Current ULEZ
NW2 1RP,Current ULEZ
N10 1AT,Current ULEZ
NW2 2RJ,Current ULEZ
NW11 0PU,Current ULEZ
NW11 9TE,Current ULEZ
N2 0RS,Current ULEZ
N2 0AE,Current ULEZ
NW2 2NE,Current ULEZ
N2 8EX,Current ULEZ
NW11 7EX,Current ULEZ
NW11 9JH,Current ULEZ
NW11 9DR,Current ULEZ
NW11 7HS,Current ULEZ
NW11 0AJ,Current ULEZ
NW11 6PN,Current ULEZ
NW11 6YN,Current ULEZ
NW11 9EY,Current ULEZ
NW11 6LN,Current ULEZ
N10 2SH,Current ULEZ
NW11 7HD,Current ULEZ
NW11 8AG,Current ULEZ
NW11 6JX,Current ULEZ
N10 2NY,Current ULEZ
N2 0EB,Current ULEZ
NW2 1UN,Current ULEZ
N2 0LW,Current ULEZ
N2 8JX,Current ULEZ
N10 2ND,Current ULEZ
NW2 1AX,Current ULEZ
NW11 6HE,Current ULEZ
NW2 1AG,Current ULEZ
NW11 6UJ,Current ULEZ
NW2 1SS,Current ULEZ
N2 0DF,Current ULEZ
N2 8NX,Current ULEZ
NW11 6SJ,Current ULEZ
NW11 8SQ,Current ULEZ
NW11 7HT,Current ULEZ
NW11 8BP,Current ULEZ
N10 1HE,Current ULEZ
NW2 1PE,Current ULEZ
NW2 1EB,Current ULEZ
N2 8BB,Current ULEZ
N2 9PY,Current ULEZ
N2 0QH,Current ULEZ
NW2 1EP,Current ULEZ
NW2 2TE,Current ULEZ
NW11 0PE,Current ULEZ
N2 0RQ,Current ULEZ
NW11 6PB,Current ULEZ
NW2 1ST,Current ULEZ
NW2 1AY,Current ULEZ
N2 0SB,Current ULEZ
NW11 6XS,Current ULEZ
NW11 8PD,Current ULEZ
NW11 0DD,Current ULEZ
N2 0RF,Current ULEZ
N10 2PD,Current ULEZ
NW11 7HF,Current ULEZ
NW2 1HR,Current ULEZ
NW11 9DX,Current ULEZ
N10 2NN,Current ULEZ
NW2 2HX,Current ULEZ
NW11 9LL,Current ULEZ
NW11 9QN,Current ULEZ
NW11 8AA,Current ULEZ
NW2 1NS,Current ULEZ
NW11 8TD,Current ULEZ
NW11 9NR,Current ULEZ
NW11 7JG,Current ULEZ
NW2 1NP,Current ULEZ
N10 2RN,Current ULEZ
N2 0UT,Current ULEZ
N2 0EW,Current ULEZ
NW2 2HH,Current ULEZ
NW11 7HH,Current ULEZ
N10 1JS,Current ULEZ
NW11 8AT,Current ULEZ
N2 0UH,Current ULEZ
N2 8ES,Current ULEZ
NW11 0ED,Current ULEZ
N10 2LU,Current ULEZ
N10 2RT,Current ULEZ
NW2 2HY,Current ULEZ
NW11 9UL,Current ULEZ
NW2 1QG,Current ULEZ
NW11 6AG,Current ULEZ
NW11 6AE,Current ULEZ
NW2 2RG,Current ULEZ
NW11 8DD,Current ULEZ
NW2 1NR,Current ULEZ
NW11 9HT,Current ULEZ
NW11 0DB,Current ULEZ
N2 8JQ,Current ULEZ
N2 0EN,Current ULEZ
NW11 9SR,Current ULEZ
N6 4TB,Current ULEZ
NW11 7SB,Current ULEZ
N2 0JB,Current ULEZ
N2 0PU,Current ULEZ
N10 2RR,Current ULEZ
NW11 6UP,Current ULEZ
N2 8AU,Current ULEZ
N2 9AN,Current ULEZ
NW11 8RR,Current ULEZ
N2 8JA,Current ULEZ
N2 0SW,Current ULEZ
N2 0SD,Current ULEZ
N2 0EE,Current ULEZ
N2 8BA,Current ULEZ
NW2 2NB,Current ULEZ
NW11 6BB,Current ULEZ
NW11 7XH,Current ULEZ
NW11 7DT,Current ULEZ
NW11 8SA,Current ULEZ
N10 2HU,Current ULEZ
NW11 6PL,Current ULEZ
NW11 9BY,Current ULEZ
NW2 2AR,Current ULEZ
NW2 2RT,Current ULEZ
NW2 2TF,Current ULEZ
NW11 7HA,Current ULEZ
NW11 0AU,Current ULEZ
N2 0ST,Current ULEZ
N2 0PY,Current ULEZ
NW11 8SF,Current ULEZ
N2 0HZ,Current ULEZ
NW11 8SE,Current ULEZ
N2 8LU,Current ULEZ
NW11 9NP,Current ULEZ
NW11 7RX,Current ULEZ
NW2 1PD,Current ULEZ
NW11 8SL,Current ULEZ
NW2 1SR,Current ULEZ
NW2 2TP,Current ULEZ
NW11 7JH,Current ULEZ
NW11 6QY,Current ULEZ
NW2 1QU,Current ULEZ
NW11 8TJ,Current ULEZ
NW11 7HZ,Current ULEZ
NW11 9ET,Current ULEZ
NW2 1JJ,Current ULEZ
NW2 1PH,Current ULEZ
NW11 7XX,Current ULEZ
NW11 9DT,Current ULEZ
NW2 2NJ,Current ULEZ
NW11 8DL,Current ULEZ
NW2 2QS,Current ULEZ
NW2 1XF,Current ULEZ
N2 0JZ,Current ULEZ
N10 2NZ,Current ULEZ
NW11 0DT,Current ULEZ
N2 8HJ,Current ULEZ
N2 0EL,Current ULEZ
N10 2LN,Current ULEZ
N2 0DE,Current ULEZ
NW11 6EB,Current ULEZ
NW11 6DR,Current ULEZ
NW2 1UX,Current ULEZ
N2 8NT,Current ULEZ
N2 8JW,Current ULEZ
NW11 7RG,Current ULEZ
NW11 0HB,Current ULEZ
NW11 8BA,Current ULEZ
NW11 0BA,Current ULEZ
N10 1ET,Current ULEZ
N10 1HD,Current ULEZ
NW11 7YA,Current ULEZ
NW11 9TY,Current ULEZ
NW11 7TN,Current ULEZ
NW2 3LL,Current ULEZ
NW2 2NR,Current ULEZ
N2 8LG,Current ULEZ
N2 0LP,Current ULEZ
N2 8BD,Current ULEZ
N10 1ER,Current ULEZ
NW11 6LH,Current ULEZ
NW2 3EE,Current ULEZ
NW11 6PE,Current ULEZ
NW11 6BT,Current ULEZ
NW11 6DX,Current ULEZ
NW11 6BJ,Current ULEZ
NW11 7RE,Current ULEZ
N10 1HG,Current ULEZ
NW11 7HB,Current ULEZ
NW11 0RH,Current ULEZ
NW3 7UA,Current ULEZ
NW11 8DJ,Current ULEZ
N2 0TA,Current ULEZ
NW11 9RR,Current ULEZ
NW11 0EB,Current ULEZ
NW2 1HS,Current ULEZ
NW11 8HG,Current ULEZ
NW11 9QB,Current ULEZ
NW11 8HB,Current ULEZ
N2 8JP,Current ULEZ
N10 1HH,Current ULEZ
N2 0QN,Current ULEZ
NW2 1SH,Current ULEZ
NW11 6AX,Current ULEZ
NW2 1TH,Current ULEZ
N2 0DW,Current ULEZ
NW2 1DL,Current ULEZ
NW2 1AU,Current ULEZ
N10 1LX,Current ULEZ
NW11 9SJ,Current ULEZ
N10 1LR,Current ULEZ
NW11 7EU,Current ULEZ
NW2 2SG,Current ULEZ
N2 9BQ,Current ULEZ
NW11 8ES,Current ULEZ
NW2 1AP,Current ULEZ
NW11 0RA,Current ULEZ
N2 8AP,Current ULEZ
N2 0QD,Current ULEZ
N2 8LD,Current ULEZ
NW11 0QR,Current ULEZ
NW11 8BU,Current ULEZ
N10 2RL,Current ULEZ
NW3 7TS,Current ULEZ
N2 9AP,Current ULEZ
N2 0LR,Current ULEZ
N2 9AL,Current ULEZ
NW2 6PF,Current ULEZ
NW11 8SB,Current ULEZ
NW2 6QJ,Current ULEZ
NW11 7UD,Current ULEZ
NW2 1HW,Current ULEZ
NW11 7EN,Current ULEZ
N2 0PS,Current ULEZ
N2 0RE,Current ULEZ
NW11 6RL,Current ULEZ
N10 2LT,Current ULEZ
NW11 7JA,Current ULEZ
NW11 6XB,Current ULEZ
NW11 7BE,Current ULEZ
NW2 1JR,Current ULEZ
NW11 0DP,Current ULEZ
NW11 6LY,Current ULEZ
NW2 2EP,Current ULEZ
NW2 1JH,Current ULEZ
NW11 8HE,Current ULEZ
NW2 1TJ,Current ULEZ
NW11 0RL,Current ULEZ
NW11 8TN,Current ULEZ
N10 1LS,Current ULEZ
NW2 1BE,Current ULEZ
NW2 2DT,Current ULEZ
NW11 7NP,Current ULEZ
NW11 7PE,Current ULEZ
NW11 0PD,Current ULEZ
NW11 9SY,Current ULEZ
NW11 7XE,Current ULEZ
NW2 2NP,Current ULEZ
NW11 0DG,Current ULEZ
N2 0UU,Current ULEZ
N2 0RB,Current ULEZ
NW2 2HR,Current ULEZ
N2 0BJ,Current ULEZ
NW2 2PU,Current ULEZ
NW11 9QT,Current ULEZ
NW11 9PS,Current ULEZ
N2 0SG,Current ULEZ
NW3 7JP,Current ULEZ
N2 9AR,Current ULEZ
N2 0EA,Current ULEZ
N2 8DY,Current ULEZ
NW2 1BB,Current ULEZ
NW11 0EX,Current ULEZ
NW2 2SH,Current ULEZ
NW11 9UG,Current ULEZ
NW3 7JG,Current ULEZ
N2 0JS,Current ULEZ
NW11 0DR,Current ULEZ
N10 2PF,Current ULEZ
NW11 7RA,Current ULEZ
NW11 7QR,Current ULEZ
N10 1AE,Current ULEZ
